"File Name","File Size","File Type","Created","Resolution","Dimensions","Encoding","Data Rate","Duration","Compression","Path Name","Disk Name"
"homepage.psd","115.8 KB","PSD ","8/18/2016 11:04:06 AM","72","1034 x 104","Planar RGB","-","-","1:10","R:\hosts\webcast.mit.edu\fall2017\model\14.02-53at750mb\images\homepage.psd","R:"
"homepage.jpg","240 KB","JPEG","8/18/2016 10:41:48 AM","72","720 x 405","Photo - JPEG","-","-","1:3","R:\hosts\webcast.mit.edu\fall2017\model\14.02-53at750mb\images\homepage.jpg","R:"
"sidebar-grad.jpg","77.3 KB","JPEG","8/23/2016 9:07:52 AM","72","229 x 550","Photo - JPEG","-","-","1:4","R:\hosts\webcast.mit.edu\fall2017\model\14.02-53at750mb\images\sidebar-grad.jpg","R:"
"14.01-banner1.png","323.5 KB","PNG ","1/31/2017 3:31:46 PM","72","900 x 115","PNG","-","-","1:1","R:\hosts\webcast.mit.edu\fall2017\model\14.02-53at750mb\images\14.01-banner1.png","R:"
"14.02-banner.png","341 KB","PNG ","1/31/2017 3:21:24 PM","72","952 x 115","PNG","-","-","1:1","R:\hosts\webcast.mit.edu\fall2017\model\14.02-53at750mb\images\14.02-banner.png","R:"
"Untitled-7.psd","123.6 KB","PSD ","1/31/2017 11:33:21 AM","72","952 x 115","Planar RGB","-","-","1:8","R:\hosts\webcast.mit.edu\fall2017\model\14.02-53at750mb\images\Untitled-7.psd","R:"
"Untitled-7.png","32.8 KB","PNG ","8/31/2016 12:01:02 PM","72","952 x 115","PNG","-","-","1:9","R:\hosts\webcast.mit.edu\fall2017\model\14.02-53at750mb\images\Untitled-7.png","R:"
"1video-2_8_2017.mp4","13.1 MB","MP4 ","9/6/2017 9:32:23 AM","72","1280 x 720","mp4a","257.8 KB/sec","00:00:51","1:127","R:\hosts\webcast.mit.edu\fall2017\model\14.02-53at750mb\embed\vod\1video-2_8_2017.mp4","R:"
"video-2_8_2017.mp4","731.5 MB","MP4 ","9/6/2017 2:54:02 PM","72","1280 x 720","Livestream mp4 file writer","251.6 KB/sec","00:0-30:0-1","1:122","R:\hosts\webcast.mit.edu\fall2017\model\14.02-53at750mb\embed\vod\video-2_8_2017.mp4","R:"
"six.css","7.3 KB","CSS ","7/22/2016 11:16:23 AM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\model\14.02-53at750mb\embed\skins\six.css","R:"
"stormtrooper.css","5.1 KB","CSS ","7/22/2016 11:16:23 AM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\model\14.02-53at750mb\embed\skins\stormtrooper.css","R:"
"five.css","4.3 KB","CSS ","7/22/2016 11:16:23 AM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\model\14.02-53at750mb\embed\skins\five.css","R:"
"seven.css","4.7 KB","CSS ","7/22/2016 11:16:23 AM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\model\14.02-53at750mb\embed\skins\seven.css","R:"
"glow.css","3.6 KB","CSS ","7/22/2016 11:16:23 AM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\model\14.02-53at750mb\embed\skins\glow.css","R:"
"roundster.css","4.6 KB","CSS ","7/22/2016 11:16:23 AM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\model\14.02-53at750mb\embed\skins\roundster.css","R:"
"beelden.css","5.8 KB","CSS ","7/22/2016 11:16:23 AM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\model\14.02-53at750mb\embed\skins\beelden.css","R:"
"bekle.css","4.8 KB","CSS ","7/22/2016 11:16:23 AM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\model\14.02-53at750mb\embed\skins\bekle.css","R:"
"vapor.css","4.6 KB","CSS ","7/22/2016 11:16:23 AM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\model\14.02-53at750mb\embed\skins\vapor.css","R:"
"provider.caterpillar.js","205.8 KB","JS  ","7/22/2016 11:16:23 AM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\model\14.02-53at750mb\embed\provider.caterpillar.js","R:"
"provider.shaka.js","121.3 KB","JS  ","7/22/2016 11:16:23 AM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\model\14.02-53at750mb\embed\provider.shaka.js","R:"
"homepage2017.psd","3.2 MB","PSD ","1/26/2017 5:23:56 PM","72","590 x 332","Planar RGB","-","-","1:1","R:\hosts\webcast.mit.edu\fall2017\model\14.02-53at750mb\embed\homepage2017.psd","R:"
"speed-3.js","2.4 KB","JS  ","3/17/2017 6:14:18 PM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\model\14.02-53at750mb\embed\speed-3.js","R:"
"provider.youtube.js","5.4 KB","JS  ","7/22/2016 11:16:23 AM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\model\14.02-53at750mb\embed\provider.youtube.js","R:"
